Host                 || Last Ranking Value

--------------------------------------------------------

 w88                  || 0.05083260298253021000

 w104                 || 0.05096839959721235000

 c43                  || 0.05083260298218602000

 p28                  || 0.05096839959682727000

 w105                 || 0.05083260298187662600

 p9                   || 0.05096839959612651400

 w96                  || 0.05083260298159958000

 p24                  || 0.05093046033659552600

 p38                  || 0.05083260298147244000

 p20                  || 0.05096839959580887000

 w118                 || 0.05096839959523433000

 w89                  || 0.05083260298093931000

 w97                  || 0.05096839959497561000

 w85                  || 0.05096839959473473000

 p37                  || 0.05094916074685105000

 c74                  || 0.05083260298061991000

 p10                  || 0.05094913058605960600

 c75                  || 0.05093046033449856000

 c62                  || 0.05083260298037863000

 w103                 || 0.05072586315999218000

 p39                  || 0.05083260298032882000

 p35                  || 0.05096839959361762500

 c47                  || 0.05074164220204454000

 p34                  || 0.05096839959347880500

 t120                 || 0.05096839959323519500

 w95                  || 0.05094909452288782400

 t123                 || 0.05096839959303247500

 w112                 || 0.05096839959294484400

 w87                  || 0.05083260298002740400

 t121                 || 0.05096839959286557400

 p27                  || 0.05096839959279406000

 p7                   || 0.05072403329669494000

 p2                   || 0.05093046033345612000

 c57                  || 0.05096839959272976600

 c56                  || 0.05096839959267214500

 p5                   || 0.05096839959262068600

 w86                  || 0.05093046033331529600

 c54                  || 0.05096839959249845000

 p18                  || 0.05254991064039019000

 p6                   || 0.05074161913190046000

 c42                  || 0.05072232637259662000

 c48                  || 0.05096839959246693000

 c76                  || 0.05096839959241524600

 w114                 || 0.05096839959239434000

 c55                  || 0.05094906186693155000

 p21                  || 0.05096839959237626400

 w109                 || 0.05083260297989047000

 w80                  || 0.05096839959236070000

 c53                  || 0.05096839959233595600

 c44                  || 0.05083260297987612000

 w99                  || 0.05074161246596956000

 p26                  || 0.05237090693306938000

 p11                  || 0.05083260297986947500

 w102                 || 0.05096839959231798400

 p30                  || 0.05096839959230502000

 p12                  || 0.05096839959229993000

 c63                  || 0.05083260297986076000

 w81                  || 0.05083260297985922600

 c60                  || 0.05096839959229170000

 c71                  || 0.05096839959228831000

 c65                  || 0.05096839959228527000

 w113                 || 0.05096839959851854000

 p31                  || 0.05096839959900776000

 c45                  || 0.05096839959805693500

 w93                  || 0.05094922876038673000

 w115                 || 0.05074169055692059000

 c79                  || 0.05096839959762189400

 c67                  || 0.05096839959646566000

 p23                  || 0.05094918962126798000

 p3                   || 0.05195796283764332000

 w91                  || 0.05083260298135251000

 w98                  || 0.05094918357430757000

 p4                   || 0.05093046033605838000

 p22                  || 0.05083260298123950400

 c70                  || 0.05096839959551178000

 c59                  || 0.05094917188851631000

 p13                  || 0.05096839959451084000

 w106                 || 0.05094915538004829000

 c50                  || 0.05096839959430310400

 c58                  || 0.05093046033537124000

 w82                  || 0.05094914505446815000

 w111                 || 0.05094914009567716500

 c49                  || 0.05096839959393282400

 c78                  || 0.05096839959411069600

 c52                  || 0.05083260298055284500

 c41                  || 0.05083260298043243000

 w117                 || 0.05083260298049043000

 c68                  || 0.05096839959376872000

 c77                  || 0.05094912162035014600

 w92                  || 0.05177170298955361500

 c40                  || 0.05094911319849603000

 p36                  || 0.05074164386453028000

 t122                 || 0.05096839959335156000

 c66                  || 0.05096839959312905000

 p0                   || 0.05225674474653266000

 w83                  || 0.05083260298013246600

 p29                  || 0.05083260298007498000

 p17                  || 0.05163330676609144400

 w119                 || 0.05072386718408209000

 w100                 || 0.05074162904366430500

 c46                  || 0.05257684764629188000

 w101                 || 0.05083260297994371000

 p8                   || 0.05096839959257489000

 c73                  || 0.05083260297993187600

 p14                  || 0.05094906946917836000

 t124                 || 0.05096839959253430000

 t125                 || 0.05083260297991209300

 w116                 || 0.05093046033314566000

 w108                 || 0.05093046033312812600

 w110                 || 0.05096839959243932000

 p16                  || 0.05094906030598738000

 w107                 || 0.05072118454781628000

 c61                  || 0.05096839959234735600

 p32                  || 0.05093046033306331000

 c69                  || 0.05093046033305726000

 p33                  || 0.05096839959232624000

 c64                  || 0.05083260297987256000

 w94                  || 0.05096839959231098000

 c51                  || 0.05093046033304769000

 w90                  || 0.05093046033304389000

 p1                   || 0.05072004459586220600

 p25                  || 0.05071955661685398400

 c72                  || 0.05083260297985786000

 p15                  || 0.05083260297985453500

 p19                  || 0.05096839959229554000

 w84                  || 0.05093046033303276500

